Date,SPY,UPDOWN,MONTH
43762,300.37,0.163398693,
43763,301.6,0.409494956,
43766,303.3,0.563660477,
43767,303.21,-0.029673591,
43768,304.14,0.306718116,
43769,303.33,-0.266324719,
43770,306.14,0.926383806,11
43773,307.37,0.401776965,
43774,307.03,-0.11061587,
43775,307.1,0.022799075,
43776,308.18,0.351676978,
43777,308.94,0.246609125,
43780,308.35,-0.190975594,
43781,309,0.210799416,
43782,309.1,0.03236246,
43783,309.55,0.145583953,
43784,311.79,0.723631077,
43787,312.02,0.0737676,
43788,311.93,-0.028844305,
43789,310.77,-0.371878306,
43790,310.27,-0.160890691,
43791,310.96,0.222386953,
43794,313.37,0.775019295,
43795,314.08,0.226569231,
43796,315.48,0.445746307,
43798,314.31,-0.370863446,
43801,311.64,-0.849479813,12
43802,309.55,-0.670645617,
43803,311.46,0.617024713,
43804,312.02,0.179798369,
43805,314.87,0.913402987,
43808,313.88,-0.314415473,
43809,313.53,-0.111507583,
43810,314.42,0.283864383,
43811,317.13,0.861904459,
43812,317.32,0.059912339,
43815,319.5,0.687003656,
43816,319.57,0.021909233,
43817,319.59,0.00625841,
43818,320.9,0.409900185,
43819,320.73,-0.052976005,
43822,321.22,0.152776479,
43823,321.23,0.003113131,
43825,322.94,0.532328861,
43826,322.86,-0.024772404,
43829,321.08,-0.551322555,
43830,321.86,0.242930111,
43832,324.87,0.935189213,1
43833,322.41,-0.757225967,
43836,323.64,0.381501814,
43837,322.73,-0.281176616,
43838,324.45,0.532953243,
43839,326.65,0.678070581,
43840,325.71,-0.287769784,
43843,327.95,0.687728347,
43844,327.45,-0.152462266,
43845,328.19,0.225988701,
43846,330.92,0.831835217,
43847,331.95,0.311253475,
43851,331.3,-0.195812622,
43852,331.34,0.012073649,
43853,331.72,0.114685821,
43854,328.77,-0.889304232,
43857,323.5,-1.602944308,
43858,326.89,1.047913447,
43859,326.62,-0.082596592,
43860,327.68,0.324536158,
43861,321.73,-1.815795898,
43864,324.12,0.742858919,2
43865,329.06,1.524126867,
43866,332.86,1.154804595,
43867,333.98,0.336477798,
43868,332.2,-0.532966046,
43871,334.68,0.74653823,
43872,335.26,0.173299869,
43873,337.42,0.644276084,
43874,337.06,-0.106691957,
43875,337.6,0.160208865,
43879,336.73,-0.257701422,
43880,338.34,0.478127877,
43881,336.95,-0.410829343,
